Time,PV Productie (W)
00:00:00,0.0
00:15:00,0.0
00:30:00,0.0
00:45:00,0.0
01:00:00,0.0
01:15:00,0.0
01:30:00,0.0
01:45:00,0.0
02:00:00,0.0
02:15:00,0.0
02:30:00,0.0
02:45:00,0.0
03:00:00,0.0
03:15:00,0.0
03:30:00,0.0
03:45:00,0.0
04:00:00,0.0
04:15:00,0.0
04:30:00,0.0
04:45:00,0.0
05:00:00,0.0
05:15:00,0.0
05:30:00,0.0
05:45:00,0.10106444444444446
06:00:00,3.0799711111111105
06:15:00,12.748559999999996
06:30:00,24.735282222222224
06:45:00,40.34886666666667
07:00:00,60.530004444444444
07:15:00,81.18351333333334
07:30:00,103.23189111111108
07:45:00,131.65927777777785
08:00:00,147.93867111111115
08:15:00,157.24997555555558
08:30:00,173.7700177777778
08:45:00,181.85408000000004
09:00:00,203.23419555555552
09:15:00,228.68017333333336
09:30:00,286.58995777777784
09:45:00,340.68108222222224
10:00:00,429.43811333333326
10:15:00,511.1672177777777
10:30:00,626.22362
10:45:00,700.9135044444444
11:00:00,770.5668622222221
11:15:00,865.2677533333335
11:30:00,996.1842311111111
11:45:00,1007.2626155555555
12:00:00,1078.6988755555558
12:15:00,1224.8442400000001
12:30:00,1203.2544644444447
12:45:00,1362.5373177777776
13:00:00,1408.0556777777779
13:15:00,1395.4804622222225
13:30:00,1466.03732
13:45:00,1573.0247644444446
14:00:00,1554.1878688888892
14:15:00,1546.7232288888886
14:30:00,1579.1135622222223
14:45:00,1635.5405866666667
15:00:00,1613.7002911111113
15:15:00,1685.9706911111111
15:30:00,1674.89778
15:45:00,1637.1403777777782
16:00:00,1694.0651355555556
16:15:00,1622.9909333333337
16:30:00,1594.4093266666664
16:45:00,1424.0448311111113
17:00:00,1640.7241955555555
17:15:00,1571.5980755555556
17:30:00,1450.4110444444448
17:45:00,1419.090151111111
18:00:00,1315.8351244444445
18:15:00,1131.123448888889
18:30:00,736.8764777777778
18:45:00,544.8545466666668
19:00:00,445.7808311111111
19:15:00,372.50463111111117
19:30:00,313.17535777777783
19:45:00,272.0280488888889
20:00:00,272.7819777777778
20:15:00,248.22659555555558
20:30:00,163.33930666666663
20:45:00,38.58128222222223
21:00:00,9.810746666666667
21:15:00,2.6433488888888887
21:30:00,0.06886888888888888
21:45:00,0.0
22:00:00,0.0
22:15:00,0.0
22:30:00,0.0
22:45:00,0.0
23:00:00,0.0
23:15:00,0.0
23:30:00,0.0
23:45:00,0.0
